#(torch) erculiani@sealion:recurrent-siamese$ PYTHONPATH=. time python    scripts/dynamic_aggregation.py -w2 --cnn-embedding resnet152 /data/erculiani//pre-embed/resnet152/reid_100to110_mugs_frames/  -b 1  -s 1 --running-mean 1  --seq-up-to 10 --fold 5,10,1 --tests 1000  --no-sequences
5,0.58,0.61,0.63,0.64,0.65,0.67,0.67,0.68,0.69,0.7
#std 5,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13
6,0.56,0.59,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68
#std 6,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
7,0.52,0.55,0.57,0.58,0.6,0.61,0.62,0.63,0.64,0.64
#std 7,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
8,0.5,0.53,0.55,0.57,0.58,0.59,0.6,0.61,0.62,0.63
#std 8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
9,0.48,0.51,0.53,0.54,0.56,0.57,0.58,0.59,0.6,0.61
#std 9,0.09,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09
10,0.47,0.5,0.52,0.53,0.54,0.56,0.57,0.58,0.58,0.59
#std 10,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
