#(torch) erculiani@sealion:recurrent-siamese$ PYTHONPATH=. time python    scripts/dynamic_aggregation.py -w0 --cnn-embedding resnet152 /data/erculiani//pre-embed/resnet152/reid_100to110_mugs_frames/  -b 1  -s 1 --running-mean -1  --seq-up-to 5               --fold 5,10,1 --tests 1000   --no-frames
5,0.62,0.77,0.87,0.93,1.0
#std 5,0.21,0.17,0.13,0.1,0.0
6,0.59,0.73,0.82,0.89,0.94
#std 6,0.18,0.16,0.14,0.11,0.08
7,0.55,0.7,0.79,0.85,0.91
#std 7,0.17,0.15,0.13,0.12,0.09
8,0.54,0.68,0.77,0.83,0.88
#std 8,0.16,0.15,0.14,0.12,0.1
9,0.51,0.65,0.73,0.8,0.85
#std 9,0.15,0.14,0.13,0.11,0.1
10,0.5,0.63,0.71,0.78,0.83
#std 10,0.14,0.14,0.13,0.11,0.1
