#(torch) erculiani@sealion:recurrent-siamese$ PYTHONPATH=. time python    scripts/dynamic_aggregation.py -w0 --cnn-embedding resnet152 /data/erculiani//pre-embed/resnet152/reid_100/  -b 1  -s 1 --running-mean 1  --seq-up-to 10 --fold 10,100,10 --tests 100  --no-sequences
10,0.76,0.78,0.79,0.8,0.81,0.82,0.82,0.83,0.83,0.84
20,0.66,0.69,0.7,0.71,0.72,0.73,0.74,0.74,0.75,0.75
30,0.6,0.62,0.64,0.65,0.66,0.67,0.68,0.68,0.69,0.69
40,0.58,0.61,0.63,0.64,0.65,0.66,0.66,0.67,0.68,0.68
50,0.56,0.59,0.6,0.62,0.63,0.64,0.64,0.65,0.66,0.66
60,0.54,0.56,0.58,0.59,0.61,0.61,0.62,0.63,0.64,0.64
70,0.51,0.54,0.56,0.57,0.58,0.59,0.6,0.61,0.61,0.62
80,0.5,0.53,0.54,0.56,0.57,0.58,0.58,0.59,0.6,0.6
90,0.48,0.51,0.53,0.54,0.55,0.56,0.57,0.57,0.58,0.59
100,0.46,0.49,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.57

