#(torch) erculiani@sealion:recurrent-siamese$ PYTHONPATH=. time python    scripts/dynamic_aggregation.py -w0 --cnn-embedding resnet152 /data/erculiani//pre-embed/resnet152/reid_100/  -b 1  -s 1 --running-mean -1  --seq-up-to 10               --fold 10,100,10 --tests 100   --no-frames                                                                             
#10,0.79,0.9,0.93,0.94,0.96,0.96,0.97,0.98,0.99,1.0
#20,0.73,0.83,0.87,0.89,0.91,0.92,0.93,0.94,0.95,0.95
#30,0.65,0.76,0.82,0.85,0.87,0.89,0.9,0.91,0.92,0.93
#40,0.64,0.75,0.8,0.83,0.86,0.87,0.88,0.89,0.9,0.91
#50,0.62,0.74,0.79,0.82,0.85,0.86,0.88,0.89,0.9,0.91
#60,0.6,0.71,0.77,0.8,0.82,0.84,0.86,0.87,0.88,0.88
#70,0.58,0.69,0.75,0.78,0.81,0.83,0.84,0.85,0.87,0.87
#80,0.57,0.69,0.74,0.77,0.8,0.81,0.83,0.84,0.85,0.86
#90,0.56,0.67,0.72,0.76,0.78,0.8,0.82,0.83,0.85,0.86
#100,0.53,0.65,0.71,0.74,0.77,0.79,0.81,0.82,0.83,0.84
#2790.27user 242.83system 20:20.63elapsed 248%CPU (0avgtext+0avgdata 220444maxresident)k
#0inputs+0outputs (0major+1496609minor)pagefaults 0swaps
#(torch) erculiani@sealion:recurrent-siamese$ PYTHONPATH=. time python    scripts/dynamic_aggregation.py -w0 --cnn-embedding resnet152 /data/erculiani//pre-embed/resnet152/reid_100/  -b 1  -s 1 --running-mean -1  --seq-up-to 10               --fold 10,100,10 --tests 1000   --no-frames
10,0.79,0.88,0.91,0.93,0.95,0.96,0.97,0.98,0.99,1.0
20,0.72,0.82,0.87,0.89,0.91,0.92,0.93,0.94,0.94,0.95
30,0.67,0.78,0.83,0.86,0.88,0.89,0.9,0.91,0.92,0.93
40,0.64,0.75,0.81,0.84,0.86,0.87,0.89,0.9,0.9,0.91
50,0.62,0.73,0.78,0.82,0.84,0.86,0.87,0.88,0.89,0.9
60,0.6,0.71,0.76,0.8,0.82,0.84,0.86,0.87,0.88,0.89
70,0.58,0.69,0.75,0.78,0.81,0.83,0.84,0.86,0.87,0.87
80,0.56,0.68,0.73,0.77,0.79,0.81,0.83,0.84,0.85,0.86
90,0.55,0.67,0.72,0.75,0.78,0.8,0.82,0.83,0.84,0.85
100,0.53,0.65,0.71,0.74,0.77,0.79,0.81,0.82,0.83,0.84
